Dataset 1
k , accuracy
1 , 1.0
3 , 0.998888888889
5 , 0.985555555556
7 , 0.985555555556
9 , 0.98
11 , 0.98
13 , 0.974444444444
15 , 0.974444444444
17 , 0.824444444444
19 , 0.925555555556
21 , 0.708888888889
23 , 0.526666666667
25 , 0.424444444444


Dataset 4
1 , 0.9888
3 , 0.9856
5 , 0.9776
7 , 0.9744
9 , 0.9648
11 , 0.9648
13 , 0.9648
15 , 0.9536
17 , 0.952
19 , 0.9488
21 , 0.9392
23 , 0.9328
25 , 0.9248
27 , 0.9248
29 , 0.912
31 , 0.9088
33 , 0.9024
